,type,times
fla-barthel-280-5.cnf,barthel,0.00685394904576242
unif-k5-r19.6-v250000-c4900000-S1619500311433205587.cnf,unif_huge,10000.0
unif-p12-k7-r87.79-v120-c10535-S1700848295905845436.cnf,unif_medium,85.20121097797528
unif-k3-r4.22-v1000000-c4220000-S8478585120714774272.cnf,unif_huge,10000.0
unif-k7-r72.0-v50000-c3600000-S1408994383594427146.cnf,unif_huge,10000.0
fla-qhid-280-4.cnf,qhid,10000.0
fla-komb-200-4.cnf,komb,0.3125172280706465
fla-barthel-240-1.cnf,barthel,0.004979017889127135
fla-barthel-300-5.cnf,barthel,0.004898282932117581
fla-qhid-380-4.cnf,qhid,10000.0
unif-k3-r4.0-v1000000-c4000000-S4191285608034358233.cnf,unif_huge,46.02852598996833
unif-p12-k7-r87.79-v120-c10535-S8656562366226126891.cnf,unif_medium,10000.0
fla-qhid-340-5.cnf,qhid,10000.0
fla-barthel-320-3.cnf,barthel,0.0046946529764682055
fla-barthel-400-1.cnf,barthel,0.02241001185029745
fla-barthel-380-1.cnf,barthel,0.006046782014891505
unif-k3-r3.86-v1000000-c3860000-S6264851850704547129.cnf,unif_huge,17.778087370097637
fla-barthel-340-3.cnf,barthel,0.0064558060839772224
fla-qhid-400-2.cnf,qhid,10000.0
fla-qhid-240-1.cnf,qhid,10000.0
fla-barthel-200-5.cnf,barthel,0.012360744876787066
fla-komb-280-1.cnf,komb,10000.0
fla-barthel-200-4.cnf,barthel,0.004295360995456576
fla-qhid-300-5.cnf,qhid,10000.0
unif-k7-r64.0-v50000-c3200000-S8650594619146919464.cnf,unif_huge,10000.0
fla-barthel-240-3.cnf,barthel,0.005541764898225665
fla-barthel-320-2.cnf,barthel,0.004929371876642108
fla-komb-360-1.cnf,komb,10000.0
unif-k5-r17.2-v250000-c4300000-S5323320306659936491.cnf,unif_huge,26.840145469643176
fla-qhid-360-5.cnf,qhid,10000.0
fla-qhid-340-3.cnf,qhid,10000.0
fla-qhid-200-4.cnf,qhid,0.005247283028438687
fla-qhid-380-1.cnf,qhid,0.007605717983096838
unif-p12-k5-r21.117-v250-c5279-S3852885293456971873.cnf,unif_medium,14.575678842142224
fla-komb-300-1.cnf,komb,10000.0
unif-p12-k3-r4.267-v6000-c25602-S8152045982034422163.cnf,unif_medium,10000.0
unif-k3-r4.14-v1000000-c4140000-S8434651259741795549.cnf,unif_huge,257.53438774403185
fla-qhid-220-3.cnf,qhid,10000.0
unif-k3-r3.94-v1000000-c3940000-S840691731903063570.cnf,unif_huge,27.47769117774442
fla-qhid-320-5.cnf,qhid,10000.0
unif-p12-k3-r4.267-v6000-c25602-S8056199468750060857.cnf,unif_medium,10000.0
unif-k7-r70.0-v50000-c3500000-S1943310965622091429.cnf,unif_huge,10000.0
fla-komb-380-2.cnf,komb,10000.0
fla-komb-280-2.cnf,komb,10000.0
fla-qhid-300-1.cnf,qhid,10000.0
fla-qhid-240-4.cnf,qhid,10000.0
unif-p12-k7-r87.79-v120-c10535-S4588135163192913747.cnf,unif_medium,4129.463469424285
fla-barthel-320-5.cnf,barthel,0.008156675845384598
fla-qhid-380-5.cnf,qhid,10000.0
unif-k3-r3.88-v1000000-c3880000-S988330601699829825.cnf,unif_huge,19.860762977972627
fla-barthel-340-5.cnf,barthel,0.00856281304731965
unif-k5-r16.6-v250000-c4150000-S802792001249715031.cnf,unif_huge,16.345164196100086
fla-barthel-200-1.cnf,barthel,0.005944793112576008
unif-k5-r17.6-v250000-c4400000-S1626301720047942661.cnf,unif_huge,44.64546466199681
unif-p12-k5-r21.117-v250-c5279-S1173863765273039011.cnf,unif_medium,10000.0
fla-barthel-340-4.cnf,barthel,0.014008207013830543
fla-komb-260-3.cnf,komb,115.4080887469463
fla-qhid-200-3.cnf,qhid,10000.0
unif-p12-k5-r21.117-v250-c5279-S2438009238149215611.cnf,unif_medium,3.769102356862277
fla-komb-340-2.cnf,komb,10000.0
