,type,times
unif-p12-k5-r21.117-v250-c5279-S4195889809507179901.cnf,unif_medium,10000.0
fla-barthel-360-1.cnf,barthel,0.023065242916345596
fla-barthel-280-5.cnf,barthel,0.0358976311981678
unif-k5-r19.6-v250000-c4900000-S1619500311433205587.cnf,unif_huge,10000.0
unif-p12-k7-r87.79-v120-c10535-S1700848295905845436.cnf,unif_medium,25.18122051283717
unif-k3-r4.22-v1000000-c4220000-S8478585120714774272.cnf,unif_huge,10000.0
unif-k7-r72.0-v50000-c3600000-S1408994383594427146.cnf,unif_huge,10000.0
fla-qhid-280-4.cnf,qhid,10000.0
fla-komb-200-4.cnf,komb,0.06173551455140114
fla-barthel-240-1.cnf,barthel,0.027099385857582092
fla-barthel-300-5.cnf,barthel,0.020830487832427025
fla-qhid-380-4.cnf,qhid,10000.0
unif-k3-r4.0-v1000000-c4000000-S4191285608034358233.cnf,unif_huge,46.35314837284386
unif-p12-k7-r87.79-v120-c10535-S8656562366226126891.cnf,unif_medium,3629.181774539873
fla-qhid-340-5.cnf,qhid,10000.0
fla-barthel-320-3.cnf,barthel,0.02213469333946705
fla-barthel-400-1.cnf,barthel,0.02870035730302334
fla-barthel-380-1.cnf,barthel,0.022529123350977898
unif-k3-r3.86-v1000000-c3860000-S6264851850704547129.cnf,unif_huge,18.25362139940262
fla-barthel-340-3.cnf,barthel,0.022371619939804077
fla-qhid-400-2.cnf,qhid,10000.0
fla-qhid-240-1.cnf,qhid,10000.0
fla-barthel-200-5.cnf,barthel,0.022793041542172432
fla-komb-280-1.cnf,komb,121.78674115426838
fla-barthel-200-4.cnf,barthel,0.021525515243411064
fla-qhid-300-5.cnf,qhid,10000.0
unif-k7-r64.0-v50000-c3200000-S8650594619146919464.cnf,unif_huge,10000.0
fla-barthel-240-3.cnf,barthel,0.021410953253507614
fla-barthel-320-2.cnf,barthel,0.022146528586745262
fla-komb-360-1.cnf,komb,228.3001307155937
unif-k5-r17.2-v250000-c4300000-S5323320306659936491.cnf,unif_huge,26.7032388150692
fla-qhid-360-5.cnf,qhid,10000.0
fla-qhid-340-3.cnf,qhid,10000.0
fla-qhid-200-4.cnf,qhid,0.10412332601845264
fla-qhid-380-1.cnf,qhid,0.14486399851739407
unif-p12-k5-r21.117-v250-c5279-S3852885293456971873.cnf,unif_medium,7.301596455276012
fla-komb-300-1.cnf,komb,25.433391200378537
unif-p12-k3-r4.267-v6000-c25602-S8152045982034422163.cnf,unif_medium,4099.784032266587
unif-k3-r4.14-v1000000-c4140000-S8434651259741795549.cnf,unif_huge,274.3963775783777
fla-qhid-220-3.cnf,qhid,1931.001711126417
unif-k3-r3.94-v1000000-c3940000-S840691731903063570.cnf,unif_huge,29.84222705103457
fla-qhid-320-5.cnf,qhid,10000.0
unif-p12-k3-r4.267-v6000-c25602-S8056199468750060857.cnf,unif_medium,10000.0
unif-k7-r70.0-v50000-c3500000-S1943310965622091429.cnf,unif_huge,10000.0
fla-komb-380-2.cnf,komb,9.500994538888335
fla-komb-280-2.cnf,komb,11.573360504582524
fla-qhid-300-1.cnf,qhid,10000.0
fla-qhid-240-4.cnf,qhid,4293.618614040315
unif-p12-k7-r87.79-v120-c10535-S4588135163192913747.cnf,unif_medium,3486.7723148427904
fla-barthel-320-5.cnf,barthel,0.028470806777477264
fla-qhid-380-5.cnf,qhid,10000.0
unif-k3-r3.88-v1000000-c3880000-S988330601699829825.cnf,unif_huge,20.791986098513007
fla-barthel-340-5.cnf,barthel,0.026991982012987137
unif-k5-r16.6-v250000-c4150000-S802792001249715031.cnf,unif_huge,16.737024504691362
fla-barthel-200-1.cnf,barthel,0.11662054620683193
unif-k5-r17.6-v250000-c4400000-S1626301720047942661.cnf,unif_huge,43.637148942798376
unif-p12-k5-r21.117-v250-c5279-S1173863765273039011.cnf,unif_medium,10000.0
fla-barthel-340-4.cnf,barthel,0.028559988364577293
fla-komb-260-3.cnf,komb,7.742365095764399
fla-qhid-200-3.cnf,qhid,224.55540796369314
