,no_restarts,with_restarts,agressive
komb/n100/gen_n100_m520_k3SAT_seed3014292908.cnf,27000024.71,86245.63333333333,65489.91333333333
komb/n100/gen_n100_m520_k3SAT_seed3027165659.cnf,23496110.803333335,76033.66666666667,122059.20666666667
komb/n100/gen_n100_m520_k3SAT_seed3118154572.cnf,179773521.08666667,155342.5,214220.68333333332
komb/n100/gen_n100_m520_k3SAT_seed3130779739.cnf,296191.2966666667,93987.37,75942.64
komb/n100/gen_n100_m520_k3SAT_seed3282623319.cnf,903836.2933333333,53901.22,45788.77333333333
komb/n100/gen_n100_m520_k3SAT_seed3472020226.cnf,3699597.953333333,1819200.7666666666,37110.28666666667
komb/n100/gen_n100_m520_k3SAT_seed3484352529.cnf,207552255.35333332,62291.91,26565.21
komb/n100/gen_n100_m520_k3SAT_seed3497102363.cnf,3738781.723333333,809606.01,14900.173333333334
komb/n100/gen_n100_m520_k3SAT_seed3562813860.cnf,136361.53666666665,12109.416666666666,24135.63
komb/n100/gen_n100_m520_k3SAT_seed3567061698.cnf,702096486.7033334,361844.13666666666,281475.26666666666
komb/n100/gen_n100_m520_k3SAT_seed365867938.cnf,8452313.94,87279.88,98441.41666666667
komb/n100/gen_n100_m520_k3SAT_seed3672367005.cnf,1021632.4433333334,39167.596666666665,18150.383333333335
komb/n100/gen_n100_m520_k3SAT_seed3695014252.cnf,544478.5466666666,53651.19,109759.07666666666
komb/n100/gen_n100_m520_k3SAT_seed3771309887.cnf,88083273.30666667,32165.633333333335,37565.07666666667
komb/n100/gen_n100_m520_k3SAT_seed3783693027.cnf,4069950.7733333334,37902.613333333335,40328.77333333333
komb/n100/gen_n100_m520_k3SAT_seed384681429.cnf,6410249.886666667,17751.226666666666,17542.89
komb/n100/gen_n100_m520_k3SAT_seed3854042681.cnf,6446169.626666667,43737.473333333335,72816.68
komb/n100/gen_n100_m520_k3SAT_seed3871375978.cnf,2552834.23,45550.39,71871.70333333334
komb/n100/gen_n100_m520_k3SAT_seed3874336641.cnf,37873.09,7285.643333333333,9929.08
komb/n100/gen_n100_m520_k3SAT_seed3880038991.cnf,574334.5733333334,21654.793333333335,45383.306666666664
komb/n100/gen_n100_m520_k3SAT_seed3913394810.cnf,2540208630.46,240911.96,191001.12333333332
komb/n100/gen_n100_m520_k3SAT_seed4063229438.cnf,572706479.72,22276506.82,165410.70333333334
komb/n100/gen_n100_m520_k3SAT_seed4133025704.cnf,3400554.8266666667,71483.16,194031.66333333333
komb/n100/gen_n100_m520_k3SAT_seed417330068.cnf,16364706754.85,11323359.553333333,79371.40666666666
komb/n100/gen_n100_m520_k3SAT_seed419259640.cnf,198880198.24,14250401.286666667,49118.53666666667
komb/n100/gen_n100_m520_k3SAT_seed4258899854.cnf,29869417.116666667,21904536.326666668,163072.10333333333
komb/n100/gen_n100_m520_k3SAT_seed4291224413.cnf,51538406.303333335,73577.27,138673.46333333335
komb/n100/gen_n100_m520_k3SAT_seed462692164.cnf,271982.37333333335,108564.31333333334,27450.8
komb/n100/gen_n100_m520_k3SAT_seed488470608.cnf,522924741.00666666,293936.89,142268.22333333333
komb/n100/gen_n100_m520_k3SAT_seed542587090.cnf,8611752.943333333,24261.103333333333,51576.513333333336
komb/n100/gen_n100_m520_k3SAT_seed579716378.cnf,507305010.48333335,112451.57333333333,67002.12
komb/n100/gen_n100_m520_k3SAT_seed610477967.cnf,6945616.106666666,6039172.526666666,78452.53
komb/n100/gen_n100_m520_k3SAT_seed636547603.cnf,44705786.79666667,129705.97333333333,92188.94666666667
komb/n100/gen_n100_m520_k3SAT_seed679892266.cnf,23834.706666666665,12808.866666666667,14525.333333333334
komb/n100/gen_n100_m520_k3SAT_seed825625153.cnf,17494683.596666668,12297736.733333332,40962.78333333333
komb/n100/gen_n100_m520_k3SAT_seed829429671.cnf,716.1366666666667,742.3666666666667,715.9966666666667
komb/n100/gen_n100_m520_k3SAT_seed832596605.cnf,53046927.02333333,44921.83666666667,42983.12333333334
komb/n100/gen_n100_m520_k3SAT_seed85862001.cnf,15671961.88,38021.496666666666,40768.34333333333
komb/n100/gen_n100_m520_k3SAT_seed892993799.cnf,2930509.6333333333,37335.35666666667,41559.91333333333
komb/n100/gen_n100_m520_k3SAT_seed899355977.cnf,3565229.1933333334,35272.29666666667,26469.143333333333
komb/n100/gen_n100_m520_k3SAT_seed973694260.cnf,376051343.21666664,148529.23666666666,102502.96333333333
qhid/n50/gen_n50_m275_k3SAT_seed100859405.cnf,78.37,84.12666666666667,76.24333333333334
qhid/n50/gen_n50_m275_k3SAT_seed1016761846.cnf,127.71333333333334,127.97333333333333,141.17333333333335
qhid/n50/gen_n50_m275_k3SAT_seed1022254637.cnf,148072243.21333334,9792205.11,23296.496666666666
qhid/n50/gen_n50_m275_k3SAT_seed1145611938.cnf,1515407.5833333333,9526.05,8465.096666666666
qhid/n50/gen_n50_m275_k3SAT_seed1147333629.cnf,106.30666666666667,106.72666666666667,112.59333333333333
qhid/n50/gen_n50_m275_k3SAT_seed1207677877.cnf,94.36,98.72666666666667,108.61666666666666
qhid/n50/gen_n50_m275_k3SAT_seed1250600340.cnf,73.53333333333333,75.20333333333333,75.20666666666666
qhid/n50/gen_n50_m275_k3SAT_seed1418269936.cnf,28501153.61,3860085.3833333333,8280.703333333333
qhid/n50/gen_n50_m275_k3SAT_seed1434622179.cnf,229069686.23333332,2333805.696666667,12279.476666666667
qhid/n50/gen_n50_m275_k3SAT_seed1453097015.cnf,797333.1,98613.4,14027.61
qhid/n50/gen_n50_m275_k3SAT_seed1467417503.cnf,138.12333333333333,154.34666666666666,144.06333333333333
qhid/n50/gen_n50_m275_k3SAT_seed723392646.cnf,106076880.66,8237626.633333334,20763.35
qhid/n50/gen_n50_m275_k3SAT_seed727628449.cnf,9862661.223333333,13754.746666666666,11129.196666666667
qhid/n50/gen_n50_m275_k3SAT_seed799486472.cnf,42157595.01,10264.713333333333,10634.653333333334
qhid/n50/gen_n50_m275_k3SAT_seed848987668.cnf,222.70666666666668,287.1766666666667,330.73333333333335
qhid/n50/gen_n50_m275_k3SAT_seed856773914.cnf,2622747.6533333333,1769613.1166666667,9509.71
qhid/n50/gen_n50_m275_k3SAT_seed872106832.cnf,83.86,79.53333333333333,90.41333333333333
qhid/n50/gen_n50_m275_k3SAT_seed880297004.cnf,159.43666666666667,151.62666666666667,165.14666666666668
