instance,nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre-featuretime,vars-clauses-ratio,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-min,VCG-CLAUSE-max,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,Basic-featuretime,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,VG-max,KLB-featuretime,CG-mean,CG-coeff-variation,CG-min,CG-max,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-min,cluster-coeff-max,cluster-coeff-entropy,CG-featuretime,saps_BestSolution_Mean,saps_BestSolution_CoeffVariance,saps_FirstLocalMinStep_Mean,saps_FirstLocalMinStep_CoeffVariance,saps_FirstLocalMinStep_Median,saps_FirstLocalMinStep_Q.10,saps_FirstLocalMinStep_Q.90,saps_BestAvgImprovement_Mean,saps_BestAvgImprovement_CoeffVariance,saps_FirstLocalMinRatio_Mean,saps_FirstLocalMinRatio_CoeffVariance,ls-saps-featuretime,gsat_BestSolution_Mean,gsat_BestSolution_CoeffVariance,gsat_FirstLocalMinStep_Mean,gsat_FirstLocalMinStep_CoeffVariance,gsat_FirstLocalMinStep_Median,gsat_FirstLocalMinStep_Q.10,gsat_FirstLocalMinStep_Q.90,gsat_BestAvgImprovement_Mean,gsat_BestAvgImprovement_CoeffVariance,gsat_FirstLocalMinRatio_Mean,gsat_FirstLocalMinRatio_CoeffVariance,ls-gsat-featuretime,lobjois-mean-depth-over-vars,lobjois-log-num-nodes-over-vars,lobjois-featuretime
qhid/n500/gen_n500_m2750_k3SAT_seed2322228205.cnf,500.0,2750.0,497.0,2747.0,0.006036217,0.0010921,0.0,0.180924645,0.498847227,0.579872362,0.0,1.0,0.617943897,0.006057459,0.033948314,0.006036217,0.00804829,0.058545497,0.0,0.0,0.989443029,0.0,0.006057459,0.26089279,0.001820167,0.012013105,2.847344337,0.228616398,0.173555955,0.0,1.0,3.599853253,0.003003093,0.362928632,0.000728067,0.00837277,2.464074058,0.496541682,0.011758941,0.25647228,0.003640335,0.02293411,0.0,0.008933464,0.219336692,0.002912268,0.017109574,3.080018035,0.087915153,0.230206822,0.044444444,0.222222222,2.050453043,0.04,21.1622,0.210345,129.543,0.069605,130.0,118.0,141.0,1.15043,0.179866,0.877218,0.0333077,2.26,16.7598,0.208516,129.805,0.0688167,130.0,119.0,141.0,0.445018,0.361162,0.865113,0.0330395,2.52,0.277895431,0.5203147,2.0
qhid/n500/gen_n500_m2750_k3SAT_seed4069265502.cnf,500.0,2750.0,496.0,2746.0,0.008064516,0.001456664,0.0,0.180626366,0.496722505,0.582390836,0.0,1.0,0.626726238,0.006077755,0.039743716,0.006048387,0.008064516,0.076062668,0.0,0.0,0.985433358,0.0,0.006077755,0.253728065,0.002549162,0.010560816,2.82045334,0.235647927,0.160256014,0.0,0.789473684,3.574558772,0.002952976,0.370963388,0.000728332,0.006919155,2.476417365,0.485433358,0.011848613,0.245807039,0.005098325,0.020757465,0.0,0.008919018,0.213723194,0.003641661,0.016387473,3.048795713,0.087175289,0.217677061,0.044444444,0.183333333,2.024242224,0.04,11.0672,0.412563,131.866,0.0697029,132.0,120.0,144.0,1.08683,0.194299,0.867243,0.0354139,2.32,9.69175,0.338775,132.339,0.071006,132.0,121.0,144.0,0.447142,0.34728,0.864203,0.0339095,2.5,0.280713617,0.537527178,2.0
qhid/n500/gen_n500_m2750_k3SAT_seed212984477.cnf,500.0,2750.0,497.0,2746.0,0.006036217,0.001456664,0.0,0.180990532,0.502731245,0.581564257,0.0,1.0,0.612261626,0.006050872,0.028275028,0.006036217,0.00804829,0.043106466,0.0,0.0,0.992716679,0.0,0.006050872,0.248506203,0.002549162,0.01019665,2.807742011,0.2471462,0.177847833,0.0,1.0,3.564530814,0.00295949,0.369316381,0.000728332,0.007647487,2.460921485,0.48980335,0.011736845,0.240418692,0.004369993,0.019664967,0.0,0.008780036,0.220261095,0.003277495,0.017115805,3.07176764,0.089068258,0.232510791,0.048484848,0.2,2.087661778,0.04,12.0578,0.383867,133.069,0.0691074,133.0,121.0,145.0,1.12147,0.195882,0.877001,0.0331538,2.38,10.5919,0.303602,132.738,0.0677994,133.0,122.0,144.0,0.463449,0.367465,0.87288,0.0319818,2.88,0.283876985,0.550600532,2.0
qhid/n500/gen_n500_m2750_k3SAT_seed2132084005.cnf,500.0,2750.0,497.0,2747.0,0.006036217,0.0010921,0.0,0.180924645,0.500485378,0.583296928,0.0,1.0,0.635030022,0.006061853,0.037227029,0.006036217,0.00804829,0.068248328,0.0,0.0,0.987258828,0.0,0.006061853,0.247514398,0.002184201,0.011285038,2.795027652,0.240201051,0.172298405,0.0,1.0,3.593390027,0.003128344,0.359968876,0.0,0.00837277,2.502144611,0.516563524,0.011753081,0.241016759,0.004368402,0.020749909,0.0,0.00881128,0.210700256,0.003640335,0.019293775,3.025404156,0.088944852,0.223114841,0.046376812,0.20952381,2.044398444,0.06,11.248,0.407416,132.891,0.0716016,133.0,121.0,145.0,1.09864,0.193319,0.874641,0.0335152,2.36,9.81631,0.32145,133.504,0.068378,133.0,122.0,145.0,0.466572,0.370046,0.872084,0.0315497,2.56,0.285804327,0.645129402,2.0
qhid/n500/gen_n500_m2750_k3SAT_seed3758686920.cnf,500.0,2750.0,493.0,2742.0,0.014198783,0.002917578,0.0,0.17979577,0.490457087,0.585283628,0.0,1.0,0.659798551,0.006132537,0.049939104,0.006085193,0.00811359,0.110769893,0.0,0.0,0.976659373,0.0,0.006132537,0.255950925,0.002188184,0.012035011,2.837637002,0.238338242,0.160570898,0.0,0.777777778,3.621464223,0.003035939,0.351043489,0.000364697,0.006929249,2.448634426,0.497447119,0.011944022,0.250494818,0.004376368,0.023705325,0.0,0.009053591,0.224613208,0.003646973,0.020058352,3.106075276,0.087060054,0.233148013,0.040909091,0.219047619,2.065426607,0.04,17.0639,0.247872,130.382,0.0703824,131.0,119.0,142.0,1.13067,0.183372,0.874417,0.0347892,2.34,13.8914,0.235339,130.736,0.06932,131.0,119.0,142.0,0.457001,0.352559,0.866251,0.0338019,2.48,0.279981739,0.528650762,2.0
qhid/n500/gen_n500_m2750_k3SAT_seed2922295637.cnf,500.0,2750.0,496.0,2745.0,0.008064516,0.001821494,0.0,0.180692168,0.502355798,0.581746207,0.0,1.0,0.668061685,0.006094659,0.057019137,0.006048387,0.010080645,0.104683784,0.0,0.0,0.980692168,0.0,0.006094659,0.273202693,0.001821494,0.016029144,2.82356603,0.237660529,0.174331018,0.0,0.714285714,3.583995379,0.002892356,0.353641974,0.000364299,0.006193078,2.428347798,0.47723133,0.011899935,0.266806026,0.003642987,0.029508197,0.0,0.008953653,0.237104575,0.003278689,0.022586521,3.10675934,0.08753533,0.227826483,0.035430989,0.2,2.075895414,0.04,11.3235,0.374375,131.79,0.0704548,132.0,120.0,144.0,1.1213,0.187762,0.879536,0.0314059,2.34,10.1298,0.516271,131.628,0.0714869,132.0,120.0,143.0,0.464611,0.397688,0.87695,0.0499853,2.56,0.285725907,0.53701819,2.0
qhid/n500/gen_n500_m2750_k3SAT_seed3505236016.cnf,500.0,2750.0,494.0,2744.0,0.012145749,0.002186589,0.0,0.180029155,0.492407677,0.583872615,0.0,1.0,0.637205152,0.006112711,0.04599685,0.006072874,0.008097166,0.09678837,0.0,0.0,0.9803207,0.0,0.006112711,0.244148752,0.002186589,0.012026239,2.783431577,0.236532622,0.164670887,0.0,0.75,3.606804329,0.003034962,0.337513758,0.000728863,0.006195335,2.431193348,0.498542274,0.011920008,0.236218244,0.004373178,0.022959184,0.0,0.008956727,0.210591421,0.004008746,0.016763848,3.041478208,0.086634491,0.214156775,0.043478261,0.175,2.000242818,0.04,9.42281,0.469244,133.389,0.0691405,133.0,122.0,145.0,1.10955,0.193922,0.87695,0.0324927,2.32,8.29456,0.357514,133.203,0.0682003,133.0,121.0,145.0,0.476223,0.340512,0.873141,0.0316827,2.6,0.286649293,0.58432371,2.0
qhid/n500/gen_n500_m2750_k3SAT_seed369140571.cnf,500.0,2750.0,495.0,2733.0,0.01010101,0.006220271,0.0,0.181119649,0.503537017,0.578229948,0.0,1.0,0.632608319,0.006092391,0.041264611,0.006060606,0.008080808,0.080934507,0.0,0.0,0.984266374,0.0,0.006092391,0.259797505,0.00219539,0.011708745,2.842543642,0.246673877,0.179579564,0.0,1.0,3.706319697,0.002859181,0.381494454,0.0,0.006586169,2.477424098,0.470911087,0.011810753,0.255375543,0.004024881,0.02341749,0.0,0.008911959,0.220167613,0.003293085,0.018294914,3.076596195,0.088894744,0.231900114,0.044217687,0.212121212,2.085475955,0.04,14.9973,0.324272,130.525,0.067707,130.0,119.0,142.0,1.1198,0.192705,0.876826,0.0324605,2.28,12.5141,0.334924,130.589,0.0717661,131.0,119.0,142.0,0.446336,0.389502,0.870661,0.0336242,2.82,0.279298641,0.550666442,2.0
qhid/n500/gen_n500_m2750_k3SAT_seed1800188483.cnf,500.0,2750.0,498.0,2748.0,0.004016064,0.000727802,0.0,0.181222707,0.512433285,0.57817011,0.0,1.0,0.636474914,0.006051864,0.03874728,0.006024096,0.008032129,0.072931462,0.0,0.0,0.986171761,0.0,0.006051864,0.252623809,0.001819505,0.013828239,2.791236982,0.230178741,0.165607999,0.0,0.777777778,3.585068678,0.003055892,0.358727878,0.000727802,0.008733624,2.439497887,0.50363901,0.011780747,0.246154509,0.00363901,0.02510917,0.0,0.008879291,0.217918983,0.003275109,0.018922853,3.054364297,0.087597553,0.22007747,0.04440333,0.20952381,2.029686202,0.04,10.0017,0.527581,132.339,0.0693114,132.0,120.0,144.0,1.04517,0.200024,0.860367,0.0357248,2.34,9.13279,0.411563,131.987,0.0707972,132.0,120.0,144.0,0.43398,0.35943,0.856984,0.0355543,2.7,0.28305544,0.523304539,2.0
qhid/n500/gen_n500_m2750_k3SAT_seed1289560150.cnf,500.0,2750.0,497.0,2747.0,0.006036217,0.0010921,0.0,0.180924645,0.493447397,0.580482957,0.0,1.0,0.60593564,0.006059656,0.035628446,0.006036217,0.00804829,0.063448783,0.0,0.0,0.988350928,0.0,0.006059656,0.24992325,0.002184201,0.011285038,2.808273057,0.247299526,0.167869743,0.0,0.733333333,3.664428123,0.003063155,0.369738349,0.000364033,0.006916636,2.519652524,0.505278486,0.011791169,0.243311391,0.004732435,0.021113942,0.0,0.008841495,0.215015685,0.003640335,0.017837641,3.057979625,0.087874923,0.225143314,0.041632653,0.181818182,2.040489807,0.04,14.9585,0.286764,131.949,0.0665522,132.0,121.0,143.0,1.16009,0.18842,0.884168,0.0305835,2.32,12.0365,0.271086,131.732,0.0691598,131.5,120.0,144.0,0.458028,0.356965,0.875328,0.0300255,2.62,0.284626112,0.549757601,2.0
