,type,times
unif-p12-k5-r21.117-v250-c5279-S4195889809507179901.cnf,unif_medium,10000.0
fla-barthel-360-1.cnf,barthel,0.022954586893320084
fla-barthel-280-5.cnf,barthel,0.03770582377910614
unif-k5-r19.6-v250000-c4900000-S1619500311433205587.cnf,unif_huge,10000.0
unif-p12-k7-r87.79-v120-c10535-S1700848295905845436.cnf,unif_medium,25.18122051283717
unif-k3-r4.22-v1000000-c4220000-S8478585120714774272.cnf,unif_huge,10000.0
unif-k7-r72.0-v50000-c3600000-S1408994383594427146.cnf,unif_huge,10000.0
fla-qhid-280-4.cnf,qhid,10000.0
fla-komb-200-4.cnf,komb,0.06108666583895683
fla-barthel-240-1.cnf,barthel,0.021911220625042915
fla-barthel-300-5.cnf,barthel,0.02177278697490692
fla-qhid-380-4.cnf,qhid,10000.0
unif-k3-r4.0-v1000000-c4000000-S4191285608034358233.cnf,unif_huge,46.35314837284386
unif-p12-k7-r87.79-v120-c10535-S8656562366226126891.cnf,unif_medium,3629.181774539873
fla-qhid-340-5.cnf,qhid,10000.0
fla-barthel-320-3.cnf,barthel,0.021774906665086746
fla-barthel-400-1.cnf,barthel,0.02978338673710823
fla-barthel-380-1.cnf,barthel,0.023414554074406624
unif-k3-r3.86-v1000000-c3860000-S6264851850704547129.cnf,unif_huge,18.25362139940262
fla-barthel-340-3.cnf,barthel,0.022640129551291466
fla-qhid-400-2.cnf,qhid,10000.0
fla-qhid-240-1.cnf,qhid,10000.0
fla-barthel-200-5.cnf,barthel,0.022668413817882538
fla-komb-280-1.cnf,komb,67.50152094848454
fla-barthel-200-4.cnf,barthel,0.021499384194612503
fla-qhid-300-5.cnf,qhid,10000.0
unif-k7-r64.0-v50000-c3200000-S8650594619146919464.cnf,unif_huge,10000.0
fla-barthel-240-3.cnf,barthel,0.020903367549180984
fla-barthel-320-2.cnf,barthel,0.022895565256476402
fla-komb-360-1.cnf,komb,82.92710308358073
unif-k5-r17.2-v250000-c4300000-S5323320306659936491.cnf,unif_huge,26.7032388150692
fla-qhid-360-5.cnf,qhid,10000.0
fla-qhid-340-3.cnf,qhid,10000.0
fla-qhid-200-4.cnf,qhid,0.04812247306108475
fla-qhid-380-1.cnf,qhid,0.06621748022735119
unif-p12-k5-r21.117-v250-c5279-S3852885293456971873.cnf,unif_medium,7.301596455276012
fla-komb-300-1.cnf,komb,14.467400947585702
unif-p12-k3-r4.267-v6000-c25602-S8152045982034422163.cnf,unif_medium,4099.784032266587
unif-k3-r4.14-v1000000-c4140000-S8434651259741795549.cnf,unif_huge,274.3963775783777
fla-qhid-220-3.cnf,qhid,241.05242787487805
unif-k3-r3.94-v1000000-c3940000-S840691731903063570.cnf,unif_huge,29.84222705103457
fla-qhid-320-5.cnf,qhid,10000.0
unif-p12-k3-r4.267-v6000-c25602-S8056199468750060857.cnf,unif_medium,10000.0
unif-k7-r70.0-v50000-c3500000-S1943310965622091429.cnf,unif_huge,10000.0
fla-komb-380-2.cnf,komb,8.00318418815732
fla-komb-280-2.cnf,komb,14.225390391424298
fla-qhid-300-1.cnf,qhid,10000.0
fla-qhid-240-4.cnf,qhid,2450.5935366321355
unif-p12-k7-r87.79-v120-c10535-S4588135163192913747.cnf,unif_medium,3486.7723148427904
fla-barthel-320-5.cnf,barthel,0.027800502255558968
